         3068216 function calls (3061514 primitive calls) in 39.941 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     55/1    0.001    0.000    0.074    0.074 module.py:1637(load)
    11018    0.071    0.000    0.071    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
       55    0.002    0.000    0.070    0.001 module.py:1505(_load_from_state_dict)
    10000    0.042    0.000    0.068    0.000 __init__.py:2069(debug)
     3090    0.011    0.000    0.067    0.000 _tensor.py:906(__iter__)
       97    0.066    0.001    0.066    0.001 {method 'copy_' of 'torch._C._TensorBase' objects}
      110    0.003    0.000    0.066    0.001 std.py:846(__init__)
      100    0.002    0.000    0.066    0.001 _filters.py:279(gaussian_filter)
      409    0.001    0.000    0.064    0.000 utils.py:341(disp_trim)
      200    0.001    0.000    0.062    0.000 _filters.py:211(gaussian_filter1d)
      220    0.002    0.000    0.060    0.000 std.py:1279(close)
     2760    0.010    0.000    0.059    0.000 _utils.py:7(_get_device_index)
     4858    0.058    0.000    0.058    0.000 {built-in method torch.empty}
      200    0.002    0.000    0.052    0.000 _filters.py:84(correlate1d)
      240    0.004    0.000    0.052    0.000 torch_utils.py:111(torch_replacement_add)
      200    0.048    0.000    0.048    0.000 {built-in method scipy.ndimage._nd_image.correlate1d}
     2013    0.047    0.000    0.047    0.000 {built-in method torch.zeros}
     3090    0.047    0.000    0.047    0.000 {method 'unbind' of 'torch._C._TensorBase' objects}
     5520    0.005    0.000    0.047    0.000 swigfaiss_avx2.py:1078(setDefaultStream)
        1    0.001    0.001    0.046    0.046 glob.py:10(glob)
     2760    0.007    0.000    0.046    0.000 _utils.py:591(_get_device_index)
     5001    0.004    0.000    0.045    0.000 glob.py:40(_iglob)
       30    0.001    0.000    0.044    0.001 saliency_for_gpnn_gradcam.py:244(<listcomp>)
     5520    0.041    0.000    0.041    0.000 {built-in method faiss._swigfaiss_avx2.GpuResources_setDefaultStream}
     2761    0.010    0.000    0.041    0.000 contextlib.py:117(__exit__)
        2    0.000    0.000    0.041    0.020 manage_plugins.py:171(call_plugin)
     1300    0.040    0.000    0.040    0.000 {built-in method torch.index_select}
     2460    0.010    0.000    0.039    0.000 torch_utils.py:60(swig_ptr_from_IndicesTensor)
        1    0.000    0.000    0.038    0.038 utils.py:17(img_save)
        1    0.000    0.000    0.038    0.038 _io.py:101(imsave)
   166349    0.037    0.000    0.037    0.000 {built-in method unicodedata.east_asian_width}
        1    0.000    0.000    0.037    0.037 v2.py:232(imwrite)
     2760    0.004    0.000    0.036    0.000 _utils.py:565(_get_current_device_index)
        1    0.000    0.000    0.036    0.036 legacy_plugin_wrapper.py:167(write)
        1    0.000    0.000    0.035    0.035 format.py:565(append_data)
        1    0.000    0.000    0.035    0.035 pillow_legacy.py:453(_append_data)
        1    0.000    0.000    0.034    0.034 pillow_legacy.py:365(_append_data)
    81258    0.034    0.000    0.034    0.000 {built-in method torch._C._has_torch_function_unary}
        1    0.000    0.000    0.034    0.034 Image.py:2346(save)
        1    0.000    0.000    0.034    0.034 PngImagePlugin.py:1242(_save)
       17    0.034    0.002    0.034    0.002 {method 'encode' of 'ImagingEncoder' objects}
        1    0.000    0.000    0.034    0.034 ImageFile.py:499(_save)
        1    0.000    0.000    0.034    0.034 ImageFile.py:527(_encode_tile)
    11040    0.011    0.000    0.033    0.000 __init__.py:550(current_device)
 1262/834    0.009    0.000    0.033    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       10    0.001    0.000    0.033    0.003 my_gpnn.py:138(<listcomp>)
     2760    0.007    0.000    0.032    0.000 _utils.py:555(_get_device_attr)
       90    0.002    0.000    0.031    0.000 pyramid.py:233(pyrdown)
      156    0.002    0.000    0.027    0.000 batchnorm.py:137(forward)
     7724    0.019    0.000    0.025    0.000 storage.py:384(__init__)
        1    0.001    0.001    0.025    0.025 glob.py:81(_glob1)
     2243    0.013    0.000    0.024    0.000 module.py:1272(__setattr__)
      156    0.001    0.000    0.024    0.000 functional.py:2419(batch_norm)
     2514    0.002    0.000    0.024    0.000 utils.py:143(inner)
      156    0.023    0.000    0.023    0.000 {built-in method torch.batch_norm}
    10000    0.012    0.000    0.022    0.000 __init__.py:1412(debug)
      624    0.004    0.000    0.022    0.000 layers.py:13(forward_hook)
    13800    0.008    0.000    0.021    0.000 __init__.py:201(_lazy_init)
       10    0.000    0.000    0.020    0.002 saliency_for_gpnn_gradcam.py:519(<dictcomp>)
       60    0.000    0.000    0.020    0.000 saliency_for_gpnn_gradcam.py:12(<lambda>)
     7724    0.016    0.000    0.020    0.000 storage.py:317(__new__)
       90    0.002    0.000    0.019    0.000 filter.py:32(filter2d)
     2760    0.010    0.000    0.018    0.000 streams.py:31(__new__)
      240    0.000    0.000    0.018    0.000 swigfaiss_avx2.py:10471(add)
     1370    0.018    0.000    0.018    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      240    0.017    0.000    0.017    0.000 {built-in method faiss._swigfaiss_avx2.GpuIndexFlat_add}
     5031    0.011    0.000    0.017    0.000 posixpath.py:71(join)
34576/34575    0.013    0.000    0.017    0.000 {built-in method builtins.len}
        1    0.005    0.005    0.016    0.016 fnmatch.py:48(filter)
      618    0.004    0.000    0.015    0.000 std.py:1455(moveto)
       11    0.002    0.000    0.015    0.001 module.py:1956(zero_grad)
      860    0.015    0.000    0.015    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      100    0.001    0.000    0.015    0.000 _warps.py:692(_clip_warp_output)
      529    0.002    0.000    0.014    0.000 std.py:342(fp_write)
      295    0.014    0.000    0.014    0.000 {built-in method torch.tensor}
     2761    0.004    0.000    0.013    0.000 contextlib.py:238(helper)
       30    0.003    0.000    0.013    0.000 saliency_for_gpnn_gradcam.py:254(<listcomp>)
     3937    0.010    0.000    0.013    0.000 {method 'format' of 'str' objects}
     2760    0.002    0.000    0.013    0.000 _utils.py:567(<lambda>)
    13810    0.008    0.000    0.013    0.000 __init__.py:158(is_initialized)
    10654    0.012    0.000    0.012    0.000 {built-in method __new__ of type object at 0x561d46756ac0}
       12    0.000    0.000    0.012    0.001 module.py:1914(eval)
   660/12    0.002    0.000    0.012    0.001 module.py:1892(train)
     2760    0.003    0.000    0.011    0.000 _utils.py:546(_get_available_device_type)
      180    0.001    0.000    0.011    0.000 my_gpnn.py:27(resize_bhwc)
       11    0.000    0.000    0.011    0.001 libre_gradcam.py:11(__init__)
      271    0.003    0.000    0.011    0.000 functional.py:3769(interpolate)
     1018    0.003    0.000    0.011    0.000 _collections_abc.py:657(get)
      330    0.011    0.000    0.011    0.000 {method 'mean' of 'torch._C._TensorBase' objects}
    10001    0.011    0.000    0.011    0.000 __init__.py:1677(isEnabledFor)
     2760    0.002    0.000    0.010    0.000 swigfaiss_avx2.py:10329(getResources)
      202    0.010    0.000    0.010    0.000 {resize}
      300    0.010    0.000    0.010    0.000 {built-in method torch.arange}
      310    0.010    0.000    0.010    0.000 {built-in method torch.randn}
      300    0.010    0.000    0.010    0.000 {method 'matmul' of 'torch._C._TensorBase' objects}
     1020    0.010    0.000    0.010    0.000 {method 'flatten' of 'torch._C._TensorBase' objects}
      375    0.002    0.000    0.009    0.000 fromnumeric.py:69(_wrapreduction)
      210    0.000    0.000    0.009    0.000 utils.py:58(get_stack_length)
     7620    0.006    0.000    0.009    0.000 storage.py:662(data_ptr)
     2761    0.008    0.000    0.009    0.000 contextlib.py:82(__init__)
      100    0.000    0.000    0.009    0.000 <__array_function__ internals>:177(clip)
      210    0.000    0.000    0.009    0.000 utils.py:39(_get_stack_length)
     4172    0.009    0.000    0.009    0.000 {built-in method torch._C._get_tracing_state}
     2772    0.004    0.000    0.009    0.000 __init__.py:82(is_available)
      100    0.000    0.000    0.008    0.000 fromnumeric.py:2085(clip)
  420/210    0.001    0.000    0.008    0.000 utils.py:27(_get_stack_rank)
      125    0.000    0.000    0.008    0.000 fromnumeric.py:51(_wrapfunc)
      649    0.000    0.000    0.008    0.000 module.py:1688(parameters)
     1040    0.005    0.000    0.008    0.000 os.py:668(__getitem__)
     2760    0.008    0.000    0.008    0.000 {built-in method faiss._swigfaiss_avx2.GpuIndex_getResources}
      100    0.000    0.000    0.008    0.000 {method 'clip' of 'numpy.ndarray' objects}
     5160    0.005    0.000    0.008    0.000 swigfaiss_avx2.py:12297(cast_integer_to_float_ptr)
      420    0.001    0.000    0.008    0.000 utils.py:35(_is_wrapped)
      649    0.000    0.000    0.008    0.000 module.py:1713(named_parameters)
     2760    0.002    0.000    0.008    0.000 swigfaiss_avx2.py:1071(getDefaultStream)
      100    0.001    0.000    0.008    0.000 _methods.py:126(_clip)
      400    0.003    0.000    0.008    0.000 _version.py:55(__init__)
      310    0.003    0.000    0.008    0.000 utils.py:660(convert_to_float)
      200    0.004    0.000    0.008    0.000 _filters.py:180(_gaussian_kernel1d)
      300    0.007    0.000    0.007    0.000 {built-in method torch.square}
      649    0.002    0.000    0.007    0.000 module.py:1675(_named_members)
    11040    0.007    0.000    0.007    0.000 {built-in method torch._C._cuda_getDevice}
     5001    0.007    0.000    0.007    0.000 glob.py:116(_iterdir)
      271    0.007    0.000    0.007    0.000 {built-in method torch._C._nn.upsample_bilinear2d}
      420    0.007    0.000    0.007    0.000 {built-in method builtins.dir}
      233    0.007    0.000    0.007    0.000 {method 'copy' of 'numpy.ndarray' objects}
    25565    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
       22    0.000    0.000    0.007    0.000 <__array_function__ internals>:177(stack)
      180    0.000    0.000    0.007    0.000 activation.py:101(forward)
       63    0.006    0.000    0.006    0.000 {built-in method torch.ones}
       22    0.000    0.000    0.006    0.000 shape_base.py:357(stack)
      100    0.000    0.000    0.006    0.000 utils.py:741(_to_ndimage_mode)
      180    0.000    0.000    0.006    0.000 functional.py:1446(relu)
       11    0.001    0.000    0.006    0.001 libre_gradcam.py:185(<listcomp>)
        1    0.000    0.000    0.006    0.006 pascal_run_competing_saliency_librecam.py:36(get_image_tensor)
     2400    0.005    0.000    0.006    0.000 _linalg_utils.py:11(is_sparse)
       30    0.006    0.000    0.006    0.000 {built-in method torch.isclose}
     8462    0.005    0.000    0.006    0.000 {built-in method builtins.hasattr}
      600    0.001    0.000    0.006    0.000 _linalg_utils.py:56(transpose)
       13    0.000    0.000    0.006    0.000 batchnorm.py:122(__init__)
     7620    0.006    0.000    0.006    0.000 {method 'is_contiguous' of 'torch._C._TensorBase' objects}
     2185    0.004    0.000    0.006    0.000 parameter.py:8(__instancecheck__)
       13    0.001    0.000    0.006    0.000 batchnorm.py:30(__init__)
      100    0.000    0.000    0.006    0.000 utils.py:755(_fix_ndimage_mode)
     5001    0.003    0.000    0.006    0.000 glob.py:84(<genexpr>)
       23    0.000    0.000    0.006    0.000 <__array_function__ internals>:177(concatenate)
      180    0.006    0.000    0.006    0.000 {built-in method torch.relu_}
     2760    0.006    0.000    0.006    0.000 {built-in method faiss._swigfaiss_avx2.GpuResources_getDefaultStream}
      300    0.000    0.000    0.006    0.000 swigfaiss_avx2.py:11739(index_cpu_to_gpu)
   550/10    0.001    0.000    0.005    0.001 copy.py:128(deepcopy)
      300    0.005    0.000    0.005    0.000 {built-in method faiss._swigfaiss_avx2.index_cpu_to_gpu}
    20/10    0.001    0.000    0.005    0.001 copy.py:225(_deepcopy_dict)
       11    0.000    0.000    0.005    0.000 libre_gradcam.py:192(<listcomp>)
      400    0.002    0.000    0.005    0.000 _ni_support.py:73(_get_output)
       30    0.005    0.000    0.005    0.000 {built-in method torch.cat}
      948    0.002    0.000    0.005    0.000 std.py:288(format_interval)
      110    0.001    0.000    0.005    0.000 std.py:583(_decr_instances)
       44    0.000    0.000    0.005    0.000 <__array_function__ internals>:177(sum)
      529    0.003    0.000    0.005    0.000 std.py:1460(format_dict)
    13810    0.005    0.000    0.005    0.000 {built-in method torch._C._cuda_isInBadFork}
      818    0.003    0.000    0.005    0.000 utils.py:222(_is_ascii)
      619    0.005    0.000    0.005    0.000 {method 'zero_' of 'torch._C._TensorBase' objects}
       90    0.003    0.000    0.005    0.000 pyramid.py:14(_get_pyramid_gaussian_kernel)
        1    0.000    0.000    0.005    0.005 {method 'load' of '_pickle.Unpickler' objects}
     2760    0.002    0.000    0.005    0.000 swigfaiss_avx2.py:1404(cast_integer_to_cudastream_t)
       44    0.000    0.000    0.005    0.000 fromnumeric.py:2162(sum)
     1368    0.005    0.000    0.005    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      100    0.004    0.000    0.004    0.000 _methods.py:107(_clip_dep_invoke_with_casting)
      200    0.000    0.000    0.004    0.000 _version.py:151(__ge__)
      600    0.004    0.000    0.004    0.000 {method 'transpose' of 'torch._C._TensorBase' objects}
      310    0.000    0.000    0.004    0.000 dtype.py:442(img_as_float)
     7630    0.004    0.000    0.004    0.000 {method '_storage' of 'torch._C._TensorBase' objects}
     5419    0.004    0.000    0.004    0.000 {method 'match' of 're.Pattern' objects}
      200    0.001    0.000    0.004    0.000 _version.py:114(_compare)
      420    0.002    0.000    0.004    0.000 _tensor.py:890(__len__)
        1    0.000    0.000    0.004    0.004 _io.py:16(imread)
     1526    0.001    0.000    0.004    0.000 module.py:1790(children)
      310    0.002    0.000    0.004    0.000 dtype.py:179(_convert)
        1    0.000    0.000    0.004    0.004 imageio_plugin.py:13(imread)
      300    0.000    0.000    0.004    0.000 _linalg_utils.py:62(transjugate)
        1    0.000    0.000    0.004    0.004 v2.py:196(imread)
     1964    0.004    0.000    0.004    0.000 std.py:233(__call__)
       36    0.000    0.000    0.004    0.000 linear.py:113(forward)
     7620    0.003    0.000    0.003    0.000 {method 'data_ptr' of 'torch._C.StorageBase' objects}
       36    0.003    0.000    0.003    0.000 {built-in method torch._C._nn.linear}
        1    0.000    0.000    0.003    0.003 legacy_plugin_wrapper.py:118(read)
     7630    0.003    0.000    0.003    0.000 {method 'storage_offset' of 'torch._C._TensorBase' objects}
     6087    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
     1040    0.002    0.000    0.003    0.000 os.py:746(encode)
     2460    0.002    0.000    0.003    0.000 swigfaiss_avx2.py:12300(cast_integer_to_idx_t_ptr)
      110    0.002    0.000    0.003    0.000 utils.py:282(_screen_shape_linux)
      110    0.000    0.000    0.003    0.000 {method 'min' of 'numpy.ndarray' objects}
     5160    0.003    0.000    0.003    0.000 {built-in method faiss._swigfaiss_avx2.cast_integer_to_float_ptr}
       10    0.001    0.000    0.003    0.000 utils.py:41(weighted_median_filter)
        2    0.000    0.000    0.003    0.002 format.py:306(__init__)
      100    0.003    0.000    0.003    0.000 {built-in method torch.nn.functional.pad}
      110    0.001    0.000    0.003    0.000 std.py:560(__new__)
 2365/616    0.003    0.000    0.003    0.000 module.py:1847(named_modules)
      859    0.002    0.000    0.003    0.000 std.py:108(release)
     2772    0.002    0.000    0.003    0.000 __init__.py:78(_is_compiled)
       11    0.001    0.000    0.003    0.000 gradcam.py:24(normalize_tensor)
      859    0.002    0.000    0.003    0.000 std.py:104(acquire)
        1    0.000    0.000    0.003    0.003 legacy_plugin_wrapper.py:90(legacy_get_reader)
     1007    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      110    0.000    0.000    0.003    0.000 _methods.py:42(_amin)
        1    0.000    0.000    0.003    0.003 format.py:209(get_reader)
       54    0.001    0.000    0.003    0.000 module.py:1644(<dictcomp>)
     9094    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
     6992    0.003    0.000    0.003    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.003    0.003 pillow_legacy.py:465(_open)
        1    0.000    0.000    0.003    0.003 pillow_legacy.py:281(_open)
       60    0.000    0.000    0.003    0.000 pooling.py:165(forward)
      409    0.002    0.000    0.003    0.000 std.py:188(__format__)
      300    0.001    0.000    0.003    0.000 swigfaiss_avx2.py:2435(__init__)
     5044    0.002    0.000    0.003    0.000 posixpath.py:41(_get_sep)
     1526    0.002    0.000    0.003    0.000 module.py:1799(named_children)
       13    0.000    0.000    0.003    0.000 batchnorm.py:91(_load_from_state_dict)
       10    0.001    0.000    0.003    0.000 _tensor.py:98(__deepcopy__)
      110    0.001    0.000    0.003    0.000 std.py:576(_get_free_pos)
        1    0.000    0.000    0.003    0.003 pillow_legacy.py:649(pil_try_read)
        2    0.000    0.000    0.003    0.001 Image.py:1363(getdata)
      517    0.001    0.000    0.003    0.000 numerictypes.py:356(issubdtype)
        3    0.000    0.000    0.003    0.001 ImageFile.py:155(load)
       60    0.000    0.000    0.003    0.000 _jit_internal.py:475(fn)
      530    0.001    0.000    0.002    0.000 _weakrefset.py:58(__iter__)
     8735    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     2760    0.002    0.000    0.002    0.000 {built-in method torch._C._cuda_getCurrentStream}
       84    0.001    0.000    0.002    0.000 serialization.py:935(persistent_load)
       10    0.000    0.000    0.002    0.000 my_gpnn.py:19(<lambda>)
      100    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(amin)
       60    0.000    0.000    0.002    0.000 functional.py:760(_max_pool2d)
